G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,E,E,Z,Z
G,G,G,G,G,G
G,G,Z,E,Z,Z
G,G,E,E,Z,Z
G,G,G,G,G,G
G,G,Z,G,Z,Z
G,G,G,G,G,G
G,G,Z,G,E,E
G,G,Z,G,Z,Z
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
G,G,G,G,G,G
L,L,L,L,L,L
L,Z,G,G,G,G
L,L,K,K,K,K
L,L,K,K,K,K
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,Ya,Ya,ZH,ZH
L,L,ZH,Ya,ZH,ZH
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,Ya,Ya,Ya,Ya,Ya
L,L,L,L,L,L
L,L,Ya,Ya,K,K
L,L,Ya,Ya,K,K
L,L,Ya,Ya,Ya,Ya
L,L,K,K,K,K
L,L,K,K,K,K
L,L,K,K,K,K
L,L,K,K,K,K
L,L,P,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,K,K,K,K
L,L,K,K,K,K
L,L,K,K,K,K
L,L,K,K,K,K
L,K,Ya,K,K,K
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,YU,L,M,L,L
L,E,M,M,M,M
L,L,K,K,K,K
L,L,K,K,K,K
L,L,K,K,K,K
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,A,G,G,L,L
L,A,G,G,L,L
L,A,G,G,L,L
L,A,G,G,L,L
L,G,G,G,L,L
L,E,P,L,M,M
L,M,L,L,M,M
L,M,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,E,P,P,M,M
L,E,P,L,M,M
L,E,P,L,M,M
L,E,P,L,M,M
L,E,P,P,M,M
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,G,L,L,L,L
L,A,G,G,G,G
L,L,K,K,K,K
L,L,K,K,K,K
L,L,K,K,K,K
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,A,G,G,G,G
L,K,K,K,K,K
L,L,K,L,K,K
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,P,L,L,L,L
L,L,L,L,L,L
L,P,L,L,L,L
L,P,L,P,L,L
L,P,L,P,L,L
L,P,L,P,L,L
L,P,L,P,L,L
L,P,L,L,L,L
L,N,N,N,V,V
L,M,L,L,L,L
L,M,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,M,SH,K,V,V
L,M,M,M,L,L
L,M,M,M,L,L
L,M,M,M,L,L
L,M,M,M,L,L
L,M,M,M,L,L
L,M,M,L,L,L
L,M,M,L,L,L
L,M,M,L,L,L
L,M,M,L,L,L
L,M,M,L,L,L
L,M,M,L,L,L
L,M,M,L,L,L
L,L,M,L,L,L
L,M,M,M,L,L
L,M,M,L,L,L
L,M,M,L,L,L
L,M,M,L,L,L
L,M,M,M,L,L
L,M,M,M,L,L
L,M,M,M,L,L
L,M,M,M,L,L
L,M,M,L,L,L
L,M,M,L,L,L
L,M,M,M,M,M
L,L,K,K,K,K
L,L,K,K,K,K
L,L,K,K,K,K
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,C,M,M,M,M
L,L,K,K,K,K
L,L,K,K,K,K
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,P,L,P,P
L,K,P,L,P,P
L,Ya,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,TS,ZH,ZH,ZH,ZH
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,K,P,P,P,P
L,K,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,M,M,M,M,M
L,E,N,E,V,V
L,L,L,L,E,E
L,L,L,L,E,E
L,K,Z,Z,E,E
L,L,L,L,E,E
L,H,L,L,E,E
L,L,L,L,L,L
L,L,L,L,L,L
L,G,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,E,E
L,L,L,L,L,L
L,M,M,M,L,L
L,M,M,M,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,M,L,L,L,L
L,M,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,K,L,L,K,K
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,P,L,L
L,L,L,P,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,P,P,P,P,P
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,P,L,L
L,P,L,P,L,L
L,P,L,P,L,L
L,L,L,P,L,L
L,L,L,P,L,L
L,L,L,P,L,L
L,L,L,P,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,P,L,L
L,L,L,P,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,K,K,K,K
L,K,K,K,K,K
L,L,K,Ya,K,K
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,K,K,K,K
L,L,K,K,K,K
L,L,K,K,K,K
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,P,P,P,P,P
L,L,L,L,L,L
L,M,SH,K,V,V
L,M,T,L,T,T
L,M,T,T,T,T
L,M,L,L,L,L
L,M,L,L,L,L
L,L,L,L,L,L
L,Ya,Ya,Ya,Ya,Ya
L,L,Ya,Ya,Ya,Ya
L,Ya,Ya,Ya,Ya,Ya
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,M,M,M,M,M
L,M,M,L,M,M
L,M,M,L,M,M
L,M,M,L,M,M
L,M,M,L,M,M
L,M,M,L,M,M
L,M,M,L,L,L
L,M,M,L,L,L
L,M,M,L,L,L
L,M,M,M,M,M
L,M,M,L,L,L
L,M,T,M,L,L
L,M,M,L,L,L
L,M,M,L,L,L
L,M,M,L,L,L
L,M,L,L,L,L
L,M,T,L,L,L
L,M,T,L,L,L
L,L,L,L,L,L
L,M,L,L,L,L
L,M,L,L,L,L
L,M,L,L,L,L
L,M,L,L,L,L
L,M,L,L,L,L
L,M,L,L,L,L
L,M,L,L,L,L
L,M,L,L,L,L
L,M,L,L,L,L
L,M,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,P,L,P,L,L
L,P,L,P,L,L
L,P,L,L,L,L
L,L,L,P,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,P,L,P,L,L
L,P,L,P,L,L
L,P,P,P,P,P
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,P,L,L
L,P,L,P,P,P
L,L,L,L,L,L
L,Ya,L,L,L,L
L,Ya,L,L,L,L
L,Ya,L,L,L,L
L,Ya,L,L,L,L
L,Ya,L,L,L,L
L,Ya,L,L,L,L
L,Ya,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,V,V
L,L,L,L,V,V
L,L,L,L,V,V
L,L,L,L,V,V
L,L,K,K,K,K
L,L,K,K,K,K
L,K,K,K,K,K
L,L,K,K,K,K
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,K,P,P,P,P
L,L,L,L,L,L
L,K,L,L,L,L
L,K,L,L,L,L
L,K,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
L,L,L,L,L,L
